studentNUID,firstNames,lastName,dateOfBirth,email,gender,livingOnCampus,graduationDate,geographySK,hometownStudentSK,numberOfCreditCompleted,numberOfCreditToDegree,Nationality
2878035,Kevin,Lamb,2017-12-30,kevin.l@northeastern.edu,M,No,2024-06-06,100045,500045,12,20,Malta
2526253,Drew,Barber,2016-04-28,drew.b@northeastern.edu,F,No,2025-05-04,100046,500046,12,20,Ghana
2081358,Craig,Hernandez,1990-03-12,craig.h@northeastern.edu,M,No,2022-03-16,100047,500047,4,28,Georgia
8187574,Larry,Hill,2019-01-18,larry.h@northeastern.edu,F,No,2023-04-07,100048,500048,12,20,Belarus
9733552,Alyssa,Ross,1928-06-27,alyssa.r@northeastern.edu,M,No,2022-01-25,100049,500049,16,16,Norfolk Island
6783097,Monique,Chang,2009-12-04,monique.c@northeastern.edu,F,No,2025-07-17,100050,500050,8,24,Guadeloupe
8904241,Lisa,Patel,1992-06-12,lisa.p@northeastern.edu,M,No,2022-03-18,100051,500051,16,16,Lithuania
8132677,Dana,Arnold,1946-06-27,dana.a@northeastern.edu,F,No,2022-06-10,100052,500052,16,16,Peru
3274298,Kathryn,Smith,1923-10-11,kathryn.s@northeastern.edu,M,No,2024-06-11,100053,500053,12,20,Belgium
9397596,Dave,Brown,1913-11-22,dave.b@northeastern.edu,F,No,2023-02-13,100054,500054,4,28,Nigeria
5082280,Michael,Woods,1947-11-12,michael.w@northeastern.edu,M,No,2023-01-15,100055,500055,16,16,Kiribati
1517546,Victoria,Brown,1964-10-18,victoria.b@northeastern.edu,F,No,2025-07-26,100056,500056,4,28,Congo
8743102,Maria,Price,2017-03-23,maria.p@northeastern.edu,M,No,2024-03-06,100057,500057,12,20,Armenia
3432554,Peggy,Powers,2007-06-20,peggy.p@northeastern.edu,F,No,2023-12-14,100058,500058,16,16,Fiji
4845667,Jacqueline,Johnson,1963-11-19,jacqueline.j@northeastern.edu,M,No,2024-06-10,100059,500059,12,20,Kenya
6304826,Danielle,Mann,1959-10-17,danielle.m@northeastern.edu,F,No,2024-06-05,100060,500060,4,28,Chile
8748983,Courtney,Robinson,1946-08-29,courtney.r@northeastern.edu,M,No,2024-04-20,100061,500061,12,20,Ecuador
3618035,Alison,Perez,1963-08-10,alison.p@northeastern.edu,F,No,2023-03-19,100062,500062,12,20,Bahamas
6762327,Michelle,Freeman,1958-09-30,michelle.f@northeastern.edu,M,No,2024-03-24,100063,500063,16,16,Guernsey
6087613,Donald,Anderson,1994-01-19,donald.a@northeastern.edu,F,No,2025-02-18,100064,500064,12,20,Belarus
8956418,James,Williams,1992-03-29,james.w@northeastern.edu,M,No,2024-02-14,100065,500065,4,28,Chad
2945226,Melissa,Murray,1954-06-06,melissa.m@northeastern.edu,F,No,2023-03-17,100066,500066,12,20,Puerto Rico
7464601,Glenda,Johnson,1997-01-12,glenda.j@northeastern.edu,M,No,2025-06-05,100067,500067,8,24,Australia
6396320,Lisa,Calderon,1937-05-18,lisa.c@northeastern.edu,F,No,2024-07-25,100068,500068,8,24,Samoa
5724446,James,Hill,1991-02-01,james.h@northeastern.edu,M,No,2022-12-26,100069,500069,8,24,Christmas Island
6162703,Jared,Brown,1949-05-10,jared.b@northeastern.edu,F,No,2022-07-05,100070,500070,8,24,Congo
7472263,Jessica,Tyler,1973-12-11,jessica.t@northeastern.edu,M,No,2025-04-30,100071,500071,12,20,Namibia
4788070,Jeremy,Sanchez,1946-11-01,jeremy.s@northeastern.edu,F,No,2025-06-03,100072,500072,8,24,Pakistan
2999549,Sharon,Moran,1983-06-03,sharon.m@northeastern.edu,M,No,2023-07-05,100073,500073,4,28,Austria
2489573,Devin,Rodgers,1979-12-05,devin.r@northeastern.edu,F,No,2023-09-23,100074,500074,4,28,Togo
2229835,Vickie,Barrera,1952-12-27,vickie.b@northeastern.edu,M,No,2023-06-19,100075,500075,8,24,France
7225608,William,Hill,2001-01-15,william.h@northeastern.edu,F,No,2025-01-13,100076,500076,8,24,Heard Island and McDonald Islands
8828651,Jasmine,Jackson,1971-03-28,jasmine.j@northeastern.edu,M,No,2024-02-18,100077,500077,8,24,Suriname
5603974,Julie,Maldonado,1973-10-12,julie.m@northeastern.edu,F,No,2024-08-24,100078,500078,4,28,Guinea-Bissau
6266744,George,Perez,1948-09-07,george.p@northeastern.edu,M,No,2025-11-12,100079,500079,4,28,Netherlands Antilles
8094151,Christine,Olson,1958-04-01,christine.o@northeastern.edu,F,No,2022-03-05,100080,500080,4,28,Rwanda
2606828,Margaret,Sheppard,1966-01-10,margaret.s@northeastern.edu,M,No,2025-05-24,100081,500081,4,28,Albania
6774999,Dylan,Wu,1975-02-17,dylan.w@northeastern.edu,F,No,2024-04-05,100082,500082,16,16,Cayman Islands
6008926,David,Fisher,2008-06-10,david.f@northeastern.edu,M,No,2024-04-06,100083,500083,16,16,Kuwait
7964272,Linda,Campos,1967-09-20,linda.c@northeastern.edu,F,No,2023-11-23,100084,500084,12,20,Somalia
4346083,Angela,Banks,1948-05-17,angela.b@northeastern.edu,M,No,2022-03-15,100085,500085,8,24,Antarctica (the territory South of 60 deg S)
8020598,Ronald,Garner,1960-10-19,ronald.g@northeastern.edu,F,No,2024-05-01,100086,500086,8,24,Reunion
4039727,Isabella,Payne,2002-08-07,isabella.p@northeastern.edu,M,No,2024-05-10,100087,500087,4,28,Zimbabwe
6615794,Stephen,Larson,1951-10-20,stephen.l@northeastern.edu,F,No,2022-08-29,100088,500088,12,20,Bosnia and Herzegovina
1416077,April,Trujillo,1961-05-13,april.t@northeastern.edu,M,No,2025-02-27,100089,500089,12,20,French Guiana
9859614,John,Gallegos,1941-08-10,john.g@northeastern.edu,F,No,2023-07-21,100090,500090,12,20,Christmas Island
2127000,William,Johnson,2012-08-01,william.j@northeastern.edu,M,No,2024-06-24,100091,500091,16,16,Azerbaijan
8960832,Diane,Stephenson,2007-03-23,diane.s@northeastern.edu,F,No,2024-11-02,100092,500092,8,24,Guinea
6192782,Andrew,Juarez,1982-07-02,andrew.j@northeastern.edu,M,No,2022-12-13,100093,500093,12,20,Jamaica
9306917,Michael,Harris,1906-04-03,michael.h@northeastern.edu,F,No,2023-06-29,100094,500094,16,16,Ukraine
3369211,Ryan,Green,1957-07-02,ryan.g@northeastern.edu,M,No,2025-11-20,100095,500095,16,16,Ecuador
5383678,Stacey,Watson,2004-03-06,stacey.w@northeastern.edu,F,No,2024-02-04,100096,500096,4,28,France
7897123,Jessica,Choi,1926-11-02,jessica.c@northeastern.edu,M,No,2024-10-24,100097,500097,4,28,Djibouti
7012064,Jake,Rowe,1938-06-25,jake.r@northeastern.edu,F,No,2024-04-03,100098,500098,16,16,Eritrea
1679273,Joseph,Park,1968-04-23,joseph.p@northeastern.edu,M,No,2024-12-16,100099,500099,16,16,Central African Republic
7715639,Kelsey,Young,1983-02-04,kelsey.y@northeastern.edu,F,No,2024-03-25,100100,500100,16,16,France
3985762,Seth,Salazar,1925-08-12,seth.s@northeastern.edu,M,No,2023-07-03,100101,500101,4,28,United States Virgin Islands
1416257,Ronald,Frazier,1963-09-19,ronald.f@northeastern.edu,F,No,2022-01-27,100102,500102,16,16,Antarctica (the territory South of 60 deg S)
7069096,Christopher,Everett,2011-04-23,christopher.e@northeastern.edu,M,No,2024-03-22,100103,500103,8,24,Pitcairn Islands
8978287,Adam,Townsend,1969-10-14,adam.t@northeastern.edu,F,No,2025-05-06,100104,500104,4,28,Papua New Guinea
1510746,Fernando,Carson,1907-04-20,fernando.c@northeastern.edu,M,No,2023-07-26,100105,500105,12,20,Barbados
7589204,Charles,Rich,1930-11-25,charles.r@northeastern.edu,F,No,2022-12-26,100106,500106,16,16,Afghanistan
2352095,Emily,Doyle,1983-07-06,emily.d@northeastern.edu,M,No,2023-07-06,100107,500107,16,16,Qatar
2235472,Sara,Davis,1924-07-26,sara.d@northeastern.edu,F,No,2025-02-12,100108,500108,4,28,Tunisia
3661632,Charles,Lyons,2004-05-22,charles.l@northeastern.edu,M,No,2023-01-30,100109,500109,12,20,Seychelles
7774504,Luis,Gaines,1939-11-02,luis.g@northeastern.edu,F,No,2022-08-09,100110,500110,8,24,Moldova
1596534,Michael,Rice,1962-11-01,michael.r@northeastern.edu,M,No,2023-08-25,100111,500111,8,24,Cape Verde
7404679,Laura,Lee,1929-07-02,laura.l@northeastern.edu,F,No,2023-10-08,100112,500112,4,28,Lao People's Democratic Republic
1335022,Jennifer,White,1949-11-02,jennifer.w@northeastern.edu,M,No,2024-09-30,100113,500113,8,24,Algeria
4947577,Virginia,Lewis,2013-06-16,virginia.l@northeastern.edu,F,No,2022-09-18,100114,500114,12,20,Sri Lanka
3957146,Kevin,Berry,1959-03-25,kevin.b@northeastern.edu,M,No,2024-01-19,100115,500115,12,20,Saint Barthelemy
6711294,Melissa,Medina,1916-09-21,melissa.m@northeastern.edu,F,No,2022-01-27,100116,500116,4,28,Saint Helena
6013983,Ashley,Stone,1916-10-15,ashley.s@northeastern.edu,M,No,2022-05-30,100117,500117,4,28,Burkina Faso
6663605,Brian,Garza,2002-07-13,brian.g@northeastern.edu,F,No,2022-06-08,100118,500118,4,28,Cocos (Keeling) Islands
3462795,Troy,Garcia,2002-06-23,troy.g@northeastern.edu,M,No,2024-04-01,100119,500119,4,28,Moldova
6222011,Brittany,Mayo,1987-04-24,brittany.m@northeastern.edu,F,No,2025-05-19,100120,500120,16,16,Lithuania
8689280,Kristina,Baker,1999-11-24,kristina.b@northeastern.edu,M,No,2024-05-04,100121,500121,4,28,Cuba
8840505,Jason,Day,1953-03-14,jason.d@northeastern.edu,F,No,2022-03-12,100122,500122,8,24,Romania
1367999,Norma,Clarke,1957-10-03,norma.c@northeastern.edu,M,No,2023-10-23,100123,500123,8,24,Bulgaria
2987219,Jeffrey,Moore,1940-11-25,jeffrey.m@northeastern.edu,F,No,2024-10-14,100124,500124,8,24,Costa Rica
6033620,Kimberly,Hooper,1951-10-25,kimberly.h@northeastern.edu,M,No,2023-02-22,100125,500125,4,28,Vietnam
8173292,Michael,Sparks,1980-03-28,michael.s@northeastern.edu,F,No,2023-05-06,100126,500126,8,24,Korea
4123707,John,Nguyen,1941-10-15,john.n@northeastern.edu,M,No,2023-07-16,100127,500127,8,24,India
3195021,Jennifer,Nunez,1973-03-25,jennifer.n@northeastern.edu,F,No,2025-10-19,100128,500128,8,24,Honduras
1763684,Jonathan,Coleman,1958-02-10,jonathan.c@northeastern.edu,M,No,2022-02-07,100129,500129,8,24,Sudan
4663473,Deanna,Stevens,1989-02-13,deanna.s@northeastern.edu,F,No,2025-10-29,100130,500130,16,16,Cyprus
5161671,Jennifer,Ramirez,1947-04-06,jennifer.r@northeastern.edu,M,No,2022-01-10,100131,500131,4,28,Gibraltar
9029788,Timothy,Young,2016-06-30,timothy.y@northeastern.edu,F,No,2024-03-23,100132,500132,4,28,Ethiopia
7661694,Terri,Hendricks,2013-08-17,terri.h@northeastern.edu,M,No,2024-06-06,100133,500133,8,24,Haiti
3233248,Stephanie,Gray,1953-09-06,stephanie.g@northeastern.edu,F,No,2022-12-04,100134,500134,8,24,Sudan
5890927,Sarah,Buchanan,2021-01-20,sarah.b@northeastern.edu,M,No,2022-07-12,100135,500135,12,20,Netherlands
1605378,Christina,Castillo,1975-02-08,christina.c@northeastern.edu,F,No,2023-08-17,100136,500136,12,20,Lao People's Democratic Republic
7130892,Kristy,Harris,1999-03-31,kristy.h@northeastern.edu,M,No,2023-07-27,100137,500137,8,24,Brunei Darussalam
1215753,Spencer,Singleton,1910-09-28,spencer.s@northeastern.edu,F,No,2023-01-19,100138,500138,4,28,Palau
5136421,Elizabeth,Griffin,1954-11-12,elizabeth.g@northeastern.edu,M,No,2024-12-18,100139,500139,4,28,Lebanon
6445836,Ray,Carroll,1957-11-21,ray.c@northeastern.edu,F,No,2025-08-25,100140,500140,12,20,Togo
2067515,Shawn,Jones,1973-04-12,shawn.j@northeastern.edu,M,No,2023-09-01,100141,500141,4,28,Western Sahara
6672358,Brooke,Mcgee,1957-12-06,brooke.m@northeastern.edu,F,No,2022-03-28,100142,500142,4,28,Niger
8753824,Andrea,Clark,1968-10-08,andrea.c@northeastern.edu,M,No,2023-06-12,100143,500143,16,16,Haiti
2272070,Evan,Sullivan,1925-04-02,evan.s@northeastern.edu,F,No,2023-11-18,100144,500144,8,24,Mexico
2045793,Christine,Marquez,1918-01-15,christine.m@northeastern.edu,M,No,2023-03-22,100145,500145,12,20,Ecuador
1129364,Paul,Williams,1955-08-23,paul.w@northeastern.edu,F,No,2022-11-19,100146,500146,12,20,Cocos (Keeling) Islands
4479916,Kristen,Ramirez,2004-03-08,kristen.r@northeastern.edu,M,No,2025-05-14,100147,500147,16,16,Switzerland
7921460,Katrina,Cox,1953-11-07,katrina.c@northeastern.edu,F,No,2023-02-01,100148,500148,8,24,Cote d'Ivoire
4425904,Matthew,Rodriguez,1941-03-06,matthew.r@northeastern.edu,M,No,2025-11-06,100149,500149,12,20,Cape Verde
5963189,Ralph,Allen,1939-05-22,ralph.a@northeastern.edu,F,No,2024-05-10,100150,500150,4,28,New Zealand
1990901,Gregory,Parks,1993-10-15,gregory.p@northeastern.edu,M,No,2023-12-20,100151,500151,8,24,Christmas Island
8835978,Heather,Wright,1919-05-03,heather.w@northeastern.edu,F,No,2022-12-04,100152,500152,4,28,Saint Lucia
2949491,Jonathan,Sanchez,1959-10-11,jonathan.s@northeastern.edu,M,No,2025-07-19,100153,500153,4,28,Saint Barthelemy
2854323,Carla,Lopez,2001-02-15,carla.l@northeastern.edu,F,No,2022-06-04,100154,500154,16,16,Armenia
5227888,Leslie,Smith,2009-09-08,leslie.s@northeastern.edu,M,No,2025-05-12,100155,500155,12,20,Macao
8940838,Jason,Preston,1954-10-13,jason.p@northeastern.edu,F,No,2023-06-10,100156,500156,12,20,Lesotho
4503333,Ashley,Buck,1968-11-01,ashley.b@northeastern.edu,M,No,2024-05-29,100157,500157,8,24,Vanuatu
9474241,Ashley,Burgess,1990-05-02,ashley.b@northeastern.edu,F,No,2022-02-07,100158,500158,12,20,Bahamas
4722672,Kenneth,Costa,1969-02-23,kenneth.c@northeastern.edu,M,No,2025-05-30,100159,500159,12,20,Palestinian Territory
6116997,Joshua,Cardenas,1911-07-07,joshua.c@northeastern.edu,F,No,2025-03-05,100160,500160,8,24,Panama
9438896,Phillip,Rodriguez,1943-02-28,phillip.r@northeastern.edu,M,No,2025-10-28,100161,500161,12,20,Mozambique
1019909,Jason,Crane,1962-03-09,jason.c@northeastern.edu,F,No,2025-09-23,100162,500162,4,28,Myanmar
1732094,Amy,Howard,1974-08-08,amy.h@northeastern.edu,M,No,2024-07-21,100163,500163,8,24,New Zealand
2042005,Robert,Johns,1926-04-23,robert.j@northeastern.edu,F,No,2025-04-01,100164,500164,16,16,French Guiana
1512262,Joy,Conner,1994-06-11,joy.c@northeastern.edu,M,No,2023-02-09,100165,500165,4,28,Antarctica (the territory South of 60 deg S)
2662159,Yolanda,Daniels,1922-07-07,yolanda.d@northeastern.edu,F,No,2022-09-18,100166,500166,8,24,Anguilla
5535182,Steven,Nunez,2013-06-09,steven.n@northeastern.edu,M,No,2022-10-01,100167,500167,16,16,Slovenia
5763039,Jimmy,Dennis,1907-12-24,jimmy.d@northeastern.edu,F,No,2023-08-03,100168,500168,16,16,Syrian Arab Republic
4214931,Jeremy,Jones,2002-07-08,jeremy.j@northeastern.edu,M,No,2023-11-17,100169,500169,12,20,Timor-Leste
8398776,Kimberly,Sanchez,1995-10-29,kimberly.s@northeastern.edu,F,No,2023-07-13,100170,500170,4,28,United States Minor Outlying Islands
3598913,Joseph,Smith,1958-05-06,joseph.s@northeastern.edu,M,No,2024-02-20,100171,500171,4,28,Northern Mariana Islands
6925788,James,Garcia,1986-12-19,james.g@northeastern.edu,F,No,2022-02-19,100172,500172,12,20,Nigeria
9633544,Franklin,Gilbert,2009-10-25,franklin.g@northeastern.edu,M,No,2025-10-15,100173,500173,8,24,Guyana
5767182,Eric,Andersen,1919-10-06,eric.a@northeastern.edu,F,No,2022-06-23,100174,500174,8,24,French Polynesia
8424379,Alan,Green,2000-11-15,alan.g@northeastern.edu,M,No,2024-08-29,100175,500175,16,16,Burundi
6251095,Anthony,Davis,2017-03-10,anthony.d@northeastern.edu,F,No,2022-11-02,100176,500176,4,28,Norway
6816080,Catherine,Reese,1918-06-20,catherine.r@northeastern.edu,M,No,2025-01-19,100177,500177,12,20,Somalia
3893966,Jason,Oliver,2009-05-11,jason.o@northeastern.edu,F,No,2024-01-31,100178,500178,12,20,Sierra Leone
5936959,Derrick,Martin,2021-07-30,derrick.m@northeastern.edu,M,No,2022-01-19,100179,500179,12,20,Brunei Darussalam
9019809,Charles,Thompson,1908-07-30,charles.t@northeastern.edu,F,No,2025-06-01,100180,500180,4,28,Kuwait
8713757,Paul,Gilmore,1916-03-25,paul.g@northeastern.edu,M,No,2025-07-18,100181,500181,16,16,Marshall Islands
1393792,Juan,Glass,1925-06-11,juan.g@northeastern.edu,F,No,2025-08-08,100182,500182,12,20,Indonesia
4987219,April,Wilson,1963-10-01,april.w@northeastern.edu,M,No,2025-11-29,100183,500183,4,28,Zambia
8496218,Sarah,Harris,1963-11-29,sarah.h@northeastern.edu,F,No,2024-10-15,100184,500184,12,20,Algeria
2388717,Kristin,Flores,2003-10-23,kristin.f@northeastern.edu,M,No,2025-12-17,100185,500185,4,28,Luxembourg
7610271,Tonya,Oneill,1969-07-06,tonya.o@northeastern.edu,F,No,2024-01-12,100186,500186,4,28,Senegal
4192059,Alyssa,Cook,2009-03-04,alyssa.c@northeastern.edu,M,No,2025-08-05,100187,500187,12,20,French Southern Territories
7402945,Jamie,Savage,1946-07-07,jamie.s@northeastern.edu,F,No,2022-06-09,100188,500188,8,24,British Indian Ocean Territory (Chagos Archipelago)
5476427,Victoria,Hale,2000-02-11,victoria.h@northeastern.edu,M,No,2022-07-15,100189,500189,8,24,Germany
9451381,Monica,Jones,1961-10-19,monica.j@northeastern.edu,F,No,2025-02-09,100190,500190,16,16,Macao
8415800,Kelly,Johnson,1919-03-02,kelly.j@northeastern.edu,M,No,2025-03-07,100191,500191,12,20,Belgium
3762348,Ashley,Murphy,1964-12-24,ashley.m@northeastern.edu,F,No,2025-07-03,100192,500192,8,24,Monaco
4464207,Priscilla,Jones,1957-04-11,priscilla.j@northeastern.edu,M,No,2025-03-09,100193,500193,12,20,Gabon
4264872,Jessica,Anderson,1999-07-06,jessica.a@northeastern.edu,F,No,2023-02-03,100194,500194,12,20,Slovenia
6383357,Derek,Hanna,1956-10-29,derek.h@northeastern.edu,M,No,2025-05-31,100195,500195,16,16,Bolivia
2712495,Maurice,Henderson,1932-08-15,maurice.h@northeastern.edu,F,No,2024-04-20,100196,500196,8,24,Anguilla
5875496,Karen,Rasmussen,1943-03-25,karen.r@northeastern.edu,M,No,2024-02-10,100197,500197,8,24,Cape Verde
9435315,Amanda,King,1966-10-30,amanda.k@northeastern.edu,F,No,2025-01-03,100198,500198,12,20,Malaysia
1174044,Melissa,Atkinson,2008-06-20,melissa.a@northeastern.edu,M,No,2022-01-16,100199,500199,12,20,Armenia
7525003,Todd,Duncan,2020-09-16,todd.d@northeastern.edu,F,No,2024-11-26,100200,500200,12,20,Tokelau
7577622,Claudia,Johnson,1922-04-07,claudia.j@northeastern.edu,M,No,2022-10-25,100201,500201,16,16,Armenia
3850689,Lisa,Wood,1988-03-28,lisa.w@northeastern.edu,F,No,2023-02-05,100202,500202,4,28,Guam
3153078,Sue,White,2014-04-18,sue.w@northeastern.edu,M,No,2024-09-25,100203,500203,12,20,Kuwait
1215650,Brandy,Lee,1927-01-11,brandy.l@northeastern.edu,F,No,2025-08-05,100204,500204,12,20,Vietnam
7980237,Brenda,Trujillo,1924-10-10,brenda.t@northeastern.edu,M,No,2025-12-15,100205,500205,4,28,Egypt
6618921,Brenda,Haley,1996-03-09,brenda.h@northeastern.edu,F,No,2023-06-28,100206,500206,8,24,Botswana
8949936,Justin,Johnson,1970-05-17,justin.j@northeastern.edu,M,No,2022-05-28,100207,500207,8,24,Palau
2631648,Julie,Bridges,1970-01-23,julie.b@northeastern.edu,F,No,2024-10-27,100208,500208,16,16,Guatemala
1464127,Anna,Webb,1974-08-05,anna.w@northeastern.edu,M,No,2022-09-24,100209,500209,8,24,Martinique
6709160,Matthew,Stephens,1985-07-26,matthew.s@northeastern.edu,F,No,2025-08-10,100210,500210,16,16,American Samoa
6159306,Amy,Love,1995-06-20,amy.l@northeastern.edu,M,No,2025-04-30,100211,500211,12,20,Belarus
6616560,Isaac,Price,2003-12-21,isaac.p@northeastern.edu,F,No,2022-05-18,100212,500212,12,20,Sudan
3006580,Christopher,Klein,2005-01-06,christopher.k@northeastern.edu,M,No,2025-11-04,100213,500213,16,16,Congo
9210929,Gina,Brown,1963-10-29,gina.b@northeastern.edu,F,No,2024-05-05,100214,500214,12,20,Nauru
3500543,Susan,Walker,1984-03-30,susan.w@northeastern.edu,M,No,2023-10-11,100215,500215,12,20,Jamaica
2893030,Charles,Cooper,1916-02-27,charles.c@northeastern.edu,F,No,2025-12-23,100216,500216,12,20,South Africa
5982431,Bill,Ortiz,1933-01-03,bill.o@northeastern.edu,M,No,2022-08-29,100217,500217,16,16,Italy
4384424,Haley,Bradley,1942-09-19,haley.b@northeastern.edu,F,No,2022-05-06,100218,500218,12,20,Kiribati
9893239,Darius,Collins,1936-08-11,darius.c@northeastern.edu,M,No,2022-01-01,100219,500219,8,24,Tonga
8049630,Kristin,Best,2001-07-11,kristin.b@northeastern.edu,F,No,2022-01-20,100220,500220,12,20,Kenya
6453229,Zachary,Campbell,1920-08-15,zachary.c@northeastern.edu,M,No,2022-06-27,100221,500221,12,20,Sierra Leone
3110513,Michael,Heath,1996-02-12,michael.h@northeastern.edu,F,No,2023-05-09,100222,500222,12,20,Korea
4283550,Sarah,Greene,1929-03-05,sarah.g@northeastern.edu,M,No,2022-08-09,100223,500223,8,24,Dominica
1178632,Felicia,Gordon,1983-04-19,felicia.g@northeastern.edu,F,No,2023-01-19,100224,500224,12,20,Tokelau
8787365,Thomas,Pratt,1998-01-25,thomas.p@northeastern.edu,M,No,2023-01-24,100225,500225,12,20,Mexico
