,NUID,FirstName,LastName,DOB,Email,Gender,OnCampus,GraduationDate,StreetAddress,City,State,Zipcode,CountryOfOrigin,EmpStatus,CoopStatus,Home_Address,Home_City,Home_State,Home_Zipcode,Prof_Address,Prof_City,Prof_State,Prof_Zipcode
23,2740736,Timothy,Adams,1981-07-05,timothy.a@northeastern.edu,F,No,2023-07-16,077 Moreno Underpass,Lake Jonside,West Virginia,95168,Fiji,Unemployed,No,53532 Michael Place,Huntertown,New Hampshire,16235,02259 Austin Viaduct,Wrightton,Missouri,47816
24,2310780,Darlene,Mahoney,1998-07-03,darlene.m@northeastern.edu,M,No,2025-02-11,4922 Michael Forks,North Paul,Colorado,54882,Zimbabwe,Employed,Yes,217 Vargas Burgs,North Amanda,Arizona,18417,6296 Earl Crossing Apt. 350,Port Erica,North Carolina,06993
25,2600218,Tina,Alvarez,1960-12-21,tina.a@northeastern.edu,F,No,2022-01-25,302 Williams Haven Apt. 990,Jamesshire,Ohio,38593,Haiti,Unemployed,No,9330 Gallagher Land,Charlesport,Oregon,46234,6661 Estrada Alley,Lake Edwardbury,Colorado,11328
26,5916583,Seth,Murphy,2019-01-21,seth.m@northeastern.edu,M,No,2024-06-16,7946 Williams Stream Apt. 371,Hawkinsfort,Kansas,11853,Albania,Employed,No,91503 Williams Trail,South Julieton,Virginia,88239,87683 Rodriguez Square Apt. 206,Robinsonberg,North Carolina,53550
27,7924451,Gregory,Lopez,2016-02-19,gregory.l@northeastern.edu,F,No,2025-10-27,594 Diane Rue,East Jamie,Missouri,01219,Palestinian Territory,Unemployed,Yes,85963 Harris Spurs,North Alison,Maryland,21518,31121 Tina Camp Apt. 629,Sheriburgh,Alabama,51107
28,4571666,Zachary,Munoz,1960-12-26,zachary.m@northeastern.edu,M,No,2022-01-14,38432 Jennifer Springs,Raymondmouth,Missouri,93055,Martinique,Employed,No,91867 Brandon Ridges Suite 477,Reneeview,Louisiana,51083,1766 Johnson Springs Apt. 574,Tylerfurt,Rhode Island,45227
29,4501703,Melissa,Hughes,1914-06-27,melissa.h@northeastern.edu,F,No,2025-06-24,74767 Kevin Burgs,Elizabethborough,Louisiana,17125,New Zealand,Unemployed,No,787 Mark Glens,North Whitney,Texas,96534,042 Brooks Coves Suite 509,Barrshire,South Carolina,39444
30,4661314,Tracy,Nguyen,1949-11-17,tracy.n@northeastern.edu,M,No,2024-03-05,973 Walker Loop Suite 835,New Erin,Indiana,70902,Fiji,Employed,Yes,4676 Rachel Ranch,Carriefurt,Arizona,43071,57634 Garcia Row Apt. 989,Scottfurt,Alabama,99647
31,5044459,Patricia,Hamilton,1933-07-09,patricia.h@northeastern.edu,F,No,2025-01-15,61856 Camacho Tunnel,Huberfurt,Vermont,91599,Saint Barthelemy,Unemployed,No,27170 Morris Park Apt. 055,Port Laurafort,North Carolina,41444,1223 Robert Mount,Danielville,Hawaii,70318
32,5141955,Devin,Ruiz,1920-01-08,devin.r@northeastern.edu,M,No,2025-10-02,015 Mitchell Points Apt. 129,Kerrmouth,Louisiana,56470,Uzbekistan,Employed,No,268 Emily Crossroad Apt. 781,Webbbury,South Carolina,52884,19129 Manuel Turnpike,Port Krystal,Maine,37640
33,8483687,Gregory,Evans,1929-02-28,gregory.e@northeastern.edu,F,No,2024-01-27,205 Tabitha Radial,Alantown,Utah,68048,Comoros,Unemployed,Yes,1953 Stanton Lights Apt. 326,Laurenview,New Mexico,43228,231 Willie Vista,Markchester,Nebraska,35693
34,2205097,Danielle,Peterson,1967-02-19,danielle.p@northeastern.edu,M,No,2024-09-18,084 Lyons Roads Suite 058,Princeport,Oklahoma,86172,Taiwan,Employed,No,15381 Fuller Plains Suite 843,New Edwardhaven,Ohio,69052,4483 Liu Tunnel,East David,Arkansas,02164
35,2139298,Tina,Turner,1945-11-25,tina.t@northeastern.edu,F,No,2025-11-06,98487 Anthony Course Apt. 193,Christopherbury,New Jersey,53294,Palestinian Territory,Unemployed,No,0868 Franklin Loaf Suite 301,Stewartberg,Hawaii,82188,315 Warren Plains,South Nicole,South Dakota,46423
36,3061758,Andrea,King,1908-02-26,andrea.k@northeastern.edu,M,No,2022-05-30,15060 Michelle Trace Suite 258,Travisborough,Massachusetts,55971,Samoa,Employed,Yes,2368 Karen Mission,East Angelaport,Tennessee,82140,884 Victor Junctions,Campbellberg,South Dakota,64902
37,2463354,John,Welch,2006-08-05,john.w@northeastern.edu,F,No,2022-02-23,31112 Olson Freeway,New Brian,Maryland,34220,Serbia,Unemployed,No,4968 Brittany Square Apt. 354,Port Jessicaside,Tennessee,05312,2503 Martin Summit Apt. 312,Holdenview,Vermont,81704
38,3799638,Jon,Rodriguez,1975-01-05,jon.r@northeastern.edu,M,No,2023-12-12,2190 Susan Wells,Zacharymouth,Illinois,93640,Indonesia,Employed,No,65521 Collier Avenue,Tammyview,Pennsylvania,03176,61349 Steven Tunnel,Roweberg,Idaho,95916
39,4022263,Nancy,Davila,1997-11-29,nancy.d@northeastern.edu,F,No,2024-07-27,13210 Wright Plains,Lopezshire,Wisconsin,29099,Lao People's Democratic Republic,Unemployed,Yes,185 Steven Valley,Stewartburgh,Wyoming,97768,762 Nicholas Tunnel Suite 652,North Christopher,Alaska,68412
40,6101574,Nicholas,Briggs,1951-03-24,nicholas.b@northeastern.edu,M,No,2023-04-22,295 Jennifer Meadow Suite 155,Skinnerhaven,New Hampshire,67649,Liechtenstein,Employed,No,5506 Amy Well,East Lindabury,Wyoming,28443,51695 Amanda Trace Apt. 881,Sheilafort,Arkansas,93827
41,1065188,Heidi,Sexton,1993-09-28,heidi.s@northeastern.edu,F,No,2024-04-01,95112 Mendoza Courts,North Sheila,Arkansas,40660,Palestinian Territory,Unemployed,No,047 Monica Village,Lake Jeremy,Vermont,49075,5324 Miller Passage,New Stephanieburgh,Maine,13743
42,8802496,Rodney,Garcia,1956-08-20,rodney.g@northeastern.edu,M,No,2025-08-31,99646 Sanders Parkway Suite 210,North John,New Jersey,90457,South Georgia and the South Sandwich Islands,Employed,Yes,2776 Daniel Lakes,Port Bethanystad,Michigan,40937,2647 Burns Track,New Roy,North Carolina,94989
43,3074310,Suzanne,Thompson,1973-06-13,suzanne.t@northeastern.edu,F,No,2022-11-18,43929 Maria Shore,New Levi,Iowa,54154,Swaziland,Unemployed,No,22470 Wood Isle,Davidstad,Michigan,83438,38567 John Branch Suite 420,Mollyland,New Hampshire,73672
44,2878035,Kevin,Lamb,2017-12-30,kevin.l@northeastern.edu,M,No,2024-06-06,9851 Monica Spurs Apt. 366,West Joshua,Oregon,46497,Jordan,Employed,No,6575 Walter Ports Suite 897,West David,Maryland,37347,9454 Michael Lodge Suite 853,Rodneyside,Tennessee,69532
45,2526253,Drew,Barber,2016-04-28,drew.b@northeastern.edu,F,No,2025-05-04,4522 Michael Glens Apt. 071,Cassandrastad,Ohio,37249,United States Virgin Islands,Unemployed,Yes,16280 Devin Streets Suite 546,Stoneshire,Texas,84977,1829 Brian Village Suite 259,North Faith,Oregon,50265
46,2081358,Craig,Hernandez,1990-03-12,craig.h@northeastern.edu,M,No,2022-03-16,38552 Amanda Row Apt. 115,Hodgeshaven,Nebraska,14803,Bahamas,Employed,No,27380 Garcia Dam Suite 836,Scottchester,Nebraska,48311,7256 Scott Loop Suite 120,East Robert,California,43849
47,8187574,Larry,Hill,2019-01-18,larry.h@northeastern.edu,F,No,2023-04-07,6122 Moore Knolls Suite 718,Lisahaven,Kentucky,18033,Ireland,Unemployed,No,68470 Armstrong Dam Apt. 902,Castrochester,Arkansas,87945,32416 Mays Rapid Suite 328,Alexanderfort,Utah,94967
48,9733552,Alyssa,Ross,1928-06-27,alyssa.r@northeastern.edu,M,No,2022-01-25,907 Jason Views,Sharpport,Virginia,66822,French Southern Territories,Employed,Yes,8248 Martinez Route,Port Michelleside,New Hampshire,56308,91054 Lauren Roads Suite 339,Erinport,Tennessee,55987
49,6783097,Monique,Chang,2009-12-04,monique.c@northeastern.edu,F,No,2025-07-17,441 Miller Ramp,Port Angelaberg,California,54001,Algeria,Unemployed,No,14182 Beasley Summit,West Carol,Idaho,17536,66979 Lloyd Estate Apt. 525,Toddside,Alabama,40832
50,8904241,Lisa,Patel,1992-06-12,lisa.p@northeastern.edu,M,No,2022-03-18,5499 Walker Spring Apt. 654,Port Judybury,Idaho,33412,South Georgia and the South Sandwich Islands,Employed,No,0095 Kerri Harbor,East Allen,South Dakota,23741,78847 David Drives Suite 785,Port Heather,Wyoming,33681
51,8132677,Dana,Arnold,1946-06-27,dana.a@northeastern.edu,F,No,2022-06-10,02111 Martinez Court,West Davidville,Kentucky,35044,Nicaragua,Unemployed,Yes,579 Johnson Springs Apt. 544,East Traceyburgh,Montana,14916,4724 Parker Walk,Williamsfurt,North Carolina,03865
52,3274298,Kathryn,Smith,1923-10-11,kathryn.s@northeastern.edu,M,No,2024-06-11,937 Curtis Run Suite 629,North Joshuaport,Alaska,39605,Nicaragua,Employed,No,856 Tricia Ferry Apt. 805,East Josephchester,Colorado,85156,3322 Rose Neck,Kathyville,West Virginia,11633
53,9397596,Dave,Brown,1913-11-22,dave.b@northeastern.edu,F,No,2023-02-13,042 Chad Mountain,Terranceshire,Missouri,12701,Malta,Unemployed,No,0157 Jacobs Parkways Apt. 805,Nancytown,Missouri,25737,235 Mathis Point,South Andrewburgh,Iowa,42900
54,5082280,Michael,Woods,1947-11-12,michael.w@northeastern.edu,M,No,2023-01-15,287 Kyle Skyway,New Jenniferfurt,Rhode Island,28451,Thailand,Employed,Yes,1682 Foster Club Suite 405,New Jack,Nevada,06842,6276 Seth Overpass Suite 418,Michaelport,Arkansas,77017
55,1517546,Victoria,Brown,1964-10-18,victoria.b@northeastern.edu,F,No,2025-07-26,9409 Vasquez Glen,Sanchezton,Hawaii,46518,Kyrgyz Republic,Unemployed,No,1678 Robert Streets,Nataliechester,Alabama,45704,352 Shannon Meadows,Smithton,Arizona,79657
56,8743102,Maria,Price,2017-03-23,maria.p@northeastern.edu,M,No,2024-03-06,1826 Valdez Fords Suite 844,West Jeanette,Vermont,84650,Brunei Darussalam,Employed,No,698 Hudson Terrace,Estesburgh,Connecticut,25339,75123 Jackson Centers,Patriciaville,Georgia,29294
57,3432554,Peggy,Powers,2007-06-20,peggy.p@northeastern.edu,F,No,2023-12-14,7744 Matthew Flat Apt. 971,Mccoyfort,South Carolina,26931,Saint Vincent and the Grenadines,Unemployed,Yes,776 Snow Camp,Smithtown,Connecticut,50151,5259 Stephanie Rapids Apt. 499,Lake Nicole,Massachusetts,30332
58,4845667,Jacqueline,Johnson,1963-11-19,jacqueline.j@northeastern.edu,M,No,2024-06-10,3489 Lisa Dale,Bryantown,Pennsylvania,80008,Nauru,Employed,No,476 Coleman Track,Lake Reneechester,Nevada,85720,229 Amber Orchard,Carlside,South Dakota,06839
59,6304826,Danielle,Mann,1959-10-17,danielle.m@northeastern.edu,F,No,2024-06-05,57315 Ana Lake Suite 000,West Markfurt,Nebraska,44453,Uruguay,Unemployed,No,081 Hailey Common,Port Craigland,North Dakota,90483,198 Robin Course,Antoniochester,Florida,07649
60,8748983,Courtney,Robinson,1946-08-29,courtney.r@northeastern.edu,M,No,2024-04-20,069 Ramirez Ramp,Port Deborah,Tennessee,64794,Panama,Employed,Yes,6908 Anthony Cape,Reynoldsbury,Maryland,88492,498 Glen Circle Suite 554,New Lindsay,Maine,08345
61,3618035,Alison,Perez,1963-08-10,alison.p@northeastern.edu,F,No,2023-03-19,977 Mary Lodge,Phillipsshire,North Carolina,99669,Mali,Unemployed,No,7412 Xavier Mount,South Cameronborough,Nebraska,48064,8259 Bill Burgs,South Todd,Arkansas,12945
62,6762327,Michelle,Freeman,1958-09-30,michelle.f@northeastern.edu,M,No,2024-03-24,44003 Molina Cliffs,South Tammyfurt,Indiana,76974,Seychelles,Employed,No,64123 Carlos Harbor,North Melissa,Utah,10815,409 Reynolds Plaza,Williamsshire,Vermont,27797
63,6087613,Donald,Anderson,1994-01-19,donald.a@northeastern.edu,F,No,2025-02-18,0700 Davis Extension Suite 098,North Shannon,Pennsylvania,82163,Papua New Guinea,Unemployed,Yes,4593 Michelle Burgs Suite 433,Ochoafurt,Kansas,72912,617 Mcdonald Dale,East Ryanland,Maine,65389
64,8956418,James,Williams,1992-03-29,james.w@northeastern.edu,M,No,2024-02-14,5164 Miller Expressway,South Richard,Mississippi,34784,Norfolk Island,Employed,No,28060 Fields Turnpike Suite 957,South Jacqueline,Utah,31680,475 Christopher Lodge Suite 219,North Laurenside,Kansas,60037
65,2945226,Melissa,Murray,1954-06-06,melissa.m@northeastern.edu,F,No,2023-03-17,46358 Ford Park Apt. 031,West Lindsey,Oregon,78419,Italy,Unemployed,No,688 Lucas Lake Apt. 256,Lake Ronaldstad,Florida,59181,8094 Denise Key Suite 062,Walkerton,South Carolina,15816
66,7464601,Glenda,Johnson,1997-01-12,glenda.j@northeastern.edu,M,No,2025-06-05,3447 Rodriguez Oval,West Kim,Alaska,14231,Singapore,Employed,Yes,8958 Steven River Suite 354,New Marvin,Utah,39660,859 Alvarez Route,Pennyside,Nevada,74429
67,6396320,Lisa,Calderon,1937-05-18,lisa.c@northeastern.edu,F,No,2024-07-25,42298 Hendrix Ports,Lake Thomas,Maine,70723,Australia,Unemployed,No,08734 Johnson Ridge Suite 466,Scottmouth,Wisconsin,54593,249 Tran Harbor,Janetbury,Maryland,84750
68,5724446,James,Hill,1991-02-01,james.h@northeastern.edu,M,No,2022-12-26,772 Benjamin Club Apt. 534,Melissatown,Illinois,97573,Pitcairn Islands,Employed,No,631 Michelle Spurs Apt. 102,Lake Rebeccachester,Wisconsin,86795,21256 Kathryn Court,Port Angela,Indiana,43238
69,6162703,Jared,Brown,1949-05-10,jared.b@northeastern.edu,F,No,2022-07-05,3973 Hicks Point,Brooksstad,Idaho,60532,Macao,Unemployed,Yes,037 Paul Springs,North Cynthia,Illinois,95145,28318 Griffin Expressway Suite 193,Laurafort,New Mexico,90919
70,7472263,Jessica,Tyler,1973-12-11,jessica.t@northeastern.edu,M,No,2025-04-30,3478 Klein Stream,Mitchellstad,Kentucky,31840,Bouvet Island (Bouvetoya),Employed,No,6748 Keith Ridge,Perezburgh,Michigan,48725,718 Jasmin Bypass,West Wesleyfurt,Kentucky,99825
71,4788070,Jeremy,Sanchez,1946-11-01,jeremy.s@northeastern.edu,F,No,2025-06-03,454 Barr Dam Suite 101,Lake Michael,Idaho,82882,Barbados,Unemployed,No,1795 Schmidt Trafficway Apt. 461,East Rachelbury,Arizona,74629,052 Garcia Fork,South Scott,Vermont,13571
72,2999549,Sharon,Moran,1983-06-03,sharon.m@northeastern.edu,M,No,2023-07-05,66576 April Flats,Cherylside,Indiana,42890,American Samoa,Employed,Yes,05282 Kimberly Landing Apt. 802,Lake Toni,Nebraska,34472,97282 Paul Vista Apt. 916,Garciamouth,Kentucky,84723
73,2489573,Devin,Rodgers,1979-12-05,devin.r@northeastern.edu,F,No,2023-09-23,080 Rivera Bridge,Bishopberg,Arizona,82478,Slovenia,Unemployed,No,62115 Green Summit Suite 178,Freyview,Wyoming,58592,7071 Cristina Tunnel,Lake Andrew,Kansas,46641
74,2229835,Vickie,Barrera,1952-12-27,vickie.b@northeastern.edu,M,No,2023-06-19,87609 Lauren Glens Suite 710,Nortonport,Arizona,20190,Canada,Employed,No,09773 Massey Crest,Jamieview,Vermont,70162,3890 Vargas Meadow,Lindsayfurt,New Hampshire,65004
75,7225608,William,Hill,2001-01-15,william.h@northeastern.edu,F,No,2025-01-13,9742 Lewis Grove Suite 975,Russellstad,Indiana,34378,Antigua and Barbuda,Unemployed,Yes,6154 Smith Manor,East Matthewburgh,Minnesota,00630,2002 Bishop Dam,West Teresa,North Carolina,83370
76,8828651,Jasmine,Jackson,1971-03-28,jasmine.j@northeastern.edu,M,No,2024-02-18,8120 Randy Street,New Angelica,Arkansas,43777,Switzerland,Employed,No,7817 Benjamin Squares,New Laurenfort,Tennessee,32348,16350 David Junctions Suite 428,Noahshire,Georgia,03978
77,5603974,Julie,Maldonado,1973-10-12,julie.m@northeastern.edu,F,No,2024-08-24,2196 Brock Center Suite 198,South Anna,Florida,50434,Malaysia,Unemployed,No,141 Burns Mountain,East Jaredmouth,Wisconsin,32424,54474 Hannah Via,Port Kimberly,Indiana,88300
78,6266744,George,Perez,1948-09-07,george.p@northeastern.edu,M,No,2025-11-12,8369 Donald Run Apt. 509,Melindaberg,West Virginia,70354,Guam,Employed,Yes,491 Steven Fork,South John,Alaska,58599,9332 Nelson Harbor,Mosesmouth,Oklahoma,89182
79,8094151,Christine,Olson,1958-04-01,christine.o@northeastern.edu,F,No,2022-03-05,5925 Melinda Wall,Cassieville,Indiana,46273,Brazil,Unemployed,No,2646 Allen Loop,Kempstad,Tennessee,31892,749 Aaron Points,New Audreyville,Alaska,80963
80,2606828,Margaret,Sheppard,1966-01-10,margaret.s@northeastern.edu,M,No,2025-05-24,272 Jacqueline Loop Suite 145,West Mitchellburgh,Ohio,47141,Palestinian Territory,Employed,No,594 Sharon Forge Apt. 334,Arnoldberg,Texas,81066,196 Edwards Skyway,Deniseport,Pennsylvania,35523
81,6774999,Dylan,Wu,1975-02-17,dylan.w@northeastern.edu,F,No,2024-04-05,093 Kathleen Manors Suite 411,Munozside,Wyoming,77122,United States Minor Outlying Islands,Unemployed,Yes,58786 Edward Shore Apt. 273,East Tom,Missouri,87447,0990 Christopher Stravenue Suite 628,New Williamport,Virginia,08542
82,6008926,David,Fisher,2008-06-10,david.f@northeastern.edu,M,No,2024-04-06,3099 Miguel Tunnel Apt. 546,Kristachester,California,34546,Costa Rica,Employed,No,54179 Meyer Parkways Apt. 240,East Paul,Utah,18665,3137 Padilla Points Suite 198,East Charlene,West Virginia,92072
83,7964272,Linda,Campos,1967-09-20,linda.c@northeastern.edu,F,No,2023-11-23,4900 Chase Mission,Powersview,New York,49997,Luxembourg,Unemployed,No,875 Miller Hills,East Karen,New Jersey,49286,498 Brown Road,New Laura,Mississippi,09332
84,4346083,Angela,Banks,1948-05-17,angela.b@northeastern.edu,M,No,2022-03-15,057 Ritter Lane Apt. 384,North Stacy,Washington,98295,Isle of Man,Employed,Yes,334 Angel Manors,Adamsville,Michigan,09692,9504 Romero Garden,North Carolborough,Delaware,96025
85,8020598,Ronald,Garner,1960-10-19,ronald.g@northeastern.edu,F,No,2024-05-01,182 Samantha Isle,Port Ronaldtown,Oregon,78040,Nauru,Unemployed,No,84800 Foster Square,South Pamelatown,Alabama,73527,250 Joshua Turnpike,New Patrickshire,Maryland,43375
86,4039727,Isabella,Payne,2002-08-07,isabella.p@northeastern.edu,M,No,2024-05-10,7167 Smith Alley Suite 299,Port Ashley,Georgia,07365,Oman,Employed,No,14654 David Islands,Fraziertown,Arizona,94528,722 Harvey Pass Apt. 462,Jimport,Tennessee,67260
87,6615794,Stephen,Larson,1951-10-20,stephen.l@northeastern.edu,F,No,2022-08-29,669 Mary Roads Suite 461,East Lauren,Utah,19222,Tajikistan,Unemployed,Yes,2055 Sarah Circle Apt. 622,West Autumn,New Hampshire,82797,76204 Joann Terrace Suite 844,Davidstad,South Dakota,35613
88,1416077,April,Trujillo,1961-05-13,april.t@northeastern.edu,M,No,2025-02-27,002 Lori Causeway Apt. 748,Lake Kristinestad,Washington,83082,Algeria,Employed,No,29537 Evans Spurs,Johnburgh,New Hampshire,15292,01396 Mary Creek Suite 029,Dennismouth,Louisiana,51965
89,9859614,John,Gallegos,1941-08-10,john.g@northeastern.edu,F,No,2023-07-21,00725 Cory Course Apt. 927,North Scotthaven,Kansas,06585,Ethiopia,Unemployed,No,8472 Sanford Meadow,New Lisa,Alabama,86943,640 Davis Expressway Apt. 479,West Monica,Illinois,36123
90,2127000,William,Johnson,2012-08-01,william.j@northeastern.edu,M,No,2024-06-24,4991 Mccarthy Shoals,West Nancy,Minnesota,86355,Marshall Islands,Employed,Yes,5324 Evan Oval,Mcdonaldburgh,California,17037,996 Rivera Pines,North Jessica,Ohio,97289
91,8960832,Diane,Stephenson,2007-03-23,diane.s@northeastern.edu,F,No,2024-11-02,631 Brian Circles,Lake Veronica,Iowa,85542,Lesotho,Unemployed,No,058 Hanson Light Apt. 025,South Danielchester,Arkansas,98955,4547 Shelley Shores,East Linda,Maine,15245
92,6192782,Andrew,Juarez,1982-07-02,andrew.j@northeastern.edu,M,No,2022-12-13,45996 David Stream Suite 750,North Gregoryfort,Oregon,38083,American Samoa,Employed,No,20046 John Fall,West Melissaland,Iowa,59676,52188 John Gardens,Bullockshire,New Mexico,12224
