studentNUID,geagraphySK,hometownStudentSK,calendarSK,firstName,lastName,dateOfBirth,email,gender,nationality,livingOnCampus,numberOfCreditCompleted,numberOfCreditsToDegree,graduationDate
2205097,100035,500035,810035,Danielle,Peterson,1967-02-19,danielle.p@northeastern.edu,M,Aruba,No,12,20,2024-09-18
2139298,100036,500036,810036,Tina,Turner,1945-11-25,tina.t@northeastern.edu,F,Ireland,No,12,20,2025-11-06
3061758,100037,500037,810037,Andrea,King,1908-02-26,andrea.k@northeastern.edu,M,Grenada,No,16,16,2022-05-30
2463354,100038,500038,810038,John,Welch,2006-08-05,john.w@northeastern.edu,F,Singapore,No,12,20,2022-02-23
3799638,100039,500039,810039,Jon,Rodriguez,1975-01-05,jon.r@northeastern.edu,M,Costa Rica,No,16,16,2023-12-12
4022263,100040,500040,810040,Nancy,Davila,1997-11-29,nancy.d@northeastern.edu,F,India,No,16,16,2024-07-27
6101574,100041,500041,810041,Nicholas,Briggs,1951-03-24,nicholas.b@northeastern.edu,M,French Polynesia,No,4,28,2023-04-22
1065188,100042,500042,810042,Heidi,Sexton,1993-09-28,heidi.s@northeastern.edu,F,Chad,No,8,24,2024-04-01
8802496,100043,500043,810043,Rodney,Garcia,1956-08-20,rodney.g@northeastern.edu,M,Syrian Arab Republic,No,16,16,2025-08-31
3074310,100044,500044,810044,Suzanne,Thompson,1973-06-13,suzanne.t@northeastern.edu,F,Denmark,No,8,24,2022-11-18
2878035,100045,500045,810045,Kevin,Lamb,2017-12-30,kevin.l@northeastern.edu,M,Malta,No,12,20,2024-06-06
2526253,100046,500046,810046,Drew,Barber,2016-04-28,drew.b@northeastern.edu,F,Ghana,No,12,20,2025-05-04
2081358,100047,500047,810047,Craig,Hernandez,1990-03-12,craig.h@northeastern.edu,M,Georgia,No,4,28,2022-03-16
8187574,100048,500048,810048,Larry,Hill,2019-01-18,larry.h@northeastern.edu,F,Belarus,No,12,20,2023-04-07
9733552,100049,500049,810049,Alyssa,Ross,1928-06-27,alyssa.r@northeastern.edu,M,Norfolk Island,No,16,16,2022-01-25
6783097,100050,500050,810050,Monique,Chang,2009-12-04,monique.c@northeastern.edu,F,Guadeloupe,No,8,24,2025-07-17
8904241,100051,500051,810051,Lisa,Patel,1992-06-12,lisa.p@northeastern.edu,M,Lithuania,No,16,16,2022-03-18
8132677,100052,500052,810052,Dana,Arnold,1946-06-27,dana.a@northeastern.edu,F,Peru,No,16,16,2022-06-10
3274298,100053,500053,810053,Kathryn,Smith,1923-10-11,kathryn.s@northeastern.edu,M,Belgium,No,12,20,2024-06-11
9397596,100054,500054,810054,Dave,Brown,1913-11-22,dave.b@northeastern.edu,F,Nigeria,No,4,28,2023-02-13
5082280,100055,500055,810055,Michael,Woods,1947-11-12,michael.w@northeastern.edu,M,Kiribati,No,16,16,2023-01-15
1517546,100056,500056,810056,Victoria,Brown,1964-10-18,victoria.b@northeastern.edu,F,Congo,No,4,28,2025-07-26
8743102,100057,500057,810057,Maria,Price,2017-03-23,maria.p@northeastern.edu,M,Armenia,No,12,20,2024-03-06
3432554,100058,500058,810058,Peggy,Powers,2007-06-20,peggy.p@northeastern.edu,F,Fiji,No,16,16,2023-12-14
4845667,100059,500059,810059,Jacqueline,Johnson,1963-11-19,jacqueline.j@northeastern.edu,M,Kenya,No,12,20,2024-06-10
6304826,100060,500060,810060,Danielle,Mann,1959-10-17,danielle.m@northeastern.edu,F,Chile,No,4,28,2024-06-05
8748983,100061,500061,810061,Courtney,Robinson,1946-08-29,courtney.r@northeastern.edu,M,Ecuador,No,12,20,2024-04-20
3618035,100062,500062,810062,Alison,Perez,1963-08-10,alison.p@northeastern.edu,F,Bahamas,No,12,20,2023-03-19
6762327,100063,500063,810063,Michelle,Freeman,1958-09-30,michelle.f@northeastern.edu,M,Guernsey,No,16,16,2024-03-24
6087613,100064,500064,810064,Donald,Anderson,1994-01-19,donald.a@northeastern.edu,F,Belarus,No,12,20,2025-02-18
8956418,100065,500065,810065,James,Williams,1992-03-29,james.w@northeastern.edu,M,Chad,No,4,28,2024-02-14
2945226,100066,500066,810066,Melissa,Murray,1954-06-06,melissa.m@northeastern.edu,F,Puerto Rico,No,12,20,2023-03-17
7464601,100067,500067,810067,Glenda,Johnson,1997-01-12,glenda.j@northeastern.edu,M,Australia,No,8,24,2025-06-05
6396320,100068,500068,810068,Lisa,Calderon,1937-05-18,lisa.c@northeastern.edu,F,Samoa,No,8,24,2024-07-25
5724446,100069,500069,810069,James,Hill,1991-02-01,james.h@northeastern.edu,M,Christmas Island,No,8,24,2022-12-26
6162703,100070,500070,810070,Jared,Brown,1949-05-10,jared.b@northeastern.edu,F,Congo,No,8,24,2022-07-05
7472263,100071,500071,810071,Jessica,Tyler,1973-12-11,jessica.t@northeastern.edu,M,Namibia,No,12,20,2025-04-30
4788070,100072,500072,810072,Jeremy,Sanchez,1946-11-01,jeremy.s@northeastern.edu,F,Pakistan,No,8,24,2025-06-03
2999549,100073,500073,810073,Sharon,Moran,1983-06-03,sharon.m@northeastern.edu,M,Austria,No,4,28,2023-07-05
2489573,100074,500074,810074,Devin,Rodgers,1979-12-05,devin.r@northeastern.edu,F,Togo,No,4,28,2023-09-23
2229835,100075,500075,810075,Vickie,Barrera,1952-12-27,vickie.b@northeastern.edu,M,France,No,8,24,2023-06-19
7225608,100076,500076,810076,William,Hill,2001-01-15,william.h@northeastern.edu,F,Heard Island and McDonald Islands,No,8,24,2025-01-13
8828651,100077,500077,810077,Jasmine,Jackson,1971-03-28,jasmine.j@northeastern.edu,M,Suriname,No,8,24,2024-02-18
5603974,100078,500078,810078,Julie,Maldonado,1973-10-12,julie.m@northeastern.edu,F,Guinea-Bissau,No,4,28,2024-08-24
6266744,100079,500079,810079,George,Perez,1948-09-07,george.p@northeastern.edu,M,Netherlands Antilles,No,4,28,2025-11-12
8094151,100080,500080,810080,Christine,Olson,1958-04-01,christine.o@northeastern.edu,F,Rwanda,No,4,28,2022-03-05
2606828,100081,500081,810081,Margaret,Sheppard,1966-01-10,margaret.s@northeastern.edu,M,Albania,No,4,28,2025-05-24
6774999,100082,500082,810082,Dylan,Wu,1975-02-17,dylan.w@northeastern.edu,F,Cayman Islands,No,16,16,2024-04-05
6008926,100083,500083,810083,David,Fisher,2008-06-10,david.f@northeastern.edu,M,Kuwait,No,16,16,2024-04-06
7964272,100084,500084,810084,Linda,Campos,1967-09-20,linda.c@northeastern.edu,F,Somalia,No,12,20,2023-11-23
4346083,100085,500085,810085,Angela,Banks,1948-05-17,angela.b@northeastern.edu,M,Antarctica (the territory South of 60 deg S),No,8,24,2022-03-15
8020598,100086,500086,810086,Ronald,Garner,1960-10-19,ronald.g@northeastern.edu,F,Reunion,No,8,24,2024-05-01
4039727,100087,500087,810087,Isabella,Payne,2002-08-07,isabella.p@northeastern.edu,M,Zimbabwe,No,4,28,2024-05-10
6615794,100088,500088,810088,Stephen,Larson,1951-10-20,stephen.l@northeastern.edu,F,Bosnia and Herzegovina,No,12,20,2022-08-29
1416077,100089,500089,810089,April,Trujillo,1961-05-13,april.t@northeastern.edu,M,French Guiana,No,12,20,2025-02-27
9859614,100090,500090,810090,John,Gallegos,1941-08-10,john.g@northeastern.edu,F,Christmas Island,No,12,20,2023-07-21
2127000,100091,500091,810091,William,Johnson,2012-08-01,william.j@northeastern.edu,M,Azerbaijan,No,16,16,2024-06-24
8960832,100092,500092,810092,Diane,Stephenson,2007-03-23,diane.s@northeastern.edu,F,Guinea,No,8,24,2024-11-02
6192782,100093,500093,810093,Andrew,Juarez,1982-07-02,andrew.j@northeastern.edu,M,Jamaica,No,12,20,2022-12-13
9306917,100094,500094,810094,Michael,Harris,1906-04-03,michael.h@northeastern.edu,F,Ukraine,No,16,16,2023-06-29
3369211,100095,500095,810095,Ryan,Green,1957-07-02,ryan.g@northeastern.edu,M,Ecuador,No,16,16,2025-11-20
5383678,100096,500096,810096,Stacey,Watson,2004-03-06,stacey.w@northeastern.edu,F,France,No,4,28,2024-02-04
7897123,100097,500097,810097,Jessica,Choi,1926-11-02,jessica.c@northeastern.edu,M,Djibouti,No,4,28,2024-10-24
7012064,100098,500098,810098,Jake,Rowe,1938-06-25,jake.r@northeastern.edu,F,Eritrea,No,16,16,2024-04-03
1679273,100099,500099,810099,Joseph,Park,1968-04-23,joseph.p@northeastern.edu,M,Central African Republic,No,16,16,2024-12-16
7715639,100100,500100,810100,Kelsey,Young,1983-02-04,kelsey.y@northeastern.edu,F,France,No,16,16,2024-03-25
3985762,100101,500101,810101,Seth,Salazar,1925-08-12,seth.s@northeastern.edu,M,United States Virgin Islands,No,4,28,2023-07-03
1416257,100102,500102,810102,Ronald,Frazier,1963-09-19,ronald.f@northeastern.edu,F,Antarctica (the territory South of 60 deg S),No,16,16,2022-01-27
7069096,100103,500103,810103,Christopher,Everett,2011-04-23,christopher.e@northeastern.edu,M,Pitcairn Islands,No,8,24,2024-03-22
8978287,100104,500104,810104,Adam,Townsend,1969-10-14,adam.t@northeastern.edu,F,Papua New Guinea,No,4,28,2025-05-06
1510746,100105,500105,810105,Fernando,Carson,1907-04-20,fernando.c@northeastern.edu,M,Barbados,No,12,20,2023-07-26
7589204,100106,500106,810106,Charles,Rich,1930-11-25,charles.r@northeastern.edu,F,Afghanistan,No,16,16,2022-12-26
2352095,100107,500107,810107,Emily,Doyle,1983-07-06,emily.d@northeastern.edu,M,Qatar,No,16,16,2023-07-06
2235472,100108,500108,810108,Sara,Davis,1924-07-26,sara.d@northeastern.edu,F,Tunisia,No,4,28,2025-02-12
3661632,100109,500109,810109,Charles,Lyons,2004-05-22,charles.l@northeastern.edu,M,Seychelles,No,12,20,2023-01-30
7774504,100110,500110,810110,Luis,Gaines,1939-11-02,luis.g@northeastern.edu,F,Moldova,No,8,24,2022-08-09
1596534,100111,500111,810111,Michael,Rice,1962-11-01,michael.r@northeastern.edu,M,Cape Verde,No,8,24,2023-08-25
7404679,100112,500112,810112,Laura,Lee,1929-07-02,laura.l@northeastern.edu,F,"Lao People's Democratic Republic",No,4,28,2023-10-08
1335022,100113,500113,810113,Jennifer,White,1949-11-02,jennifer.w@northeastern.edu,M,Algeria,No,8,24,2024-09-30
4947577,100114,500114,810114,Virginia,Lewis,2013-06-16,virginia.l@northeastern.edu,F,Sri Lanka,No,12,20,2022-09-18
3957146,100115,500115,810115,Kevin,Berry,1959-03-25,kevin.b@northeastern.edu,M,Saint Barthelemy,No,12,20,2024-01-19
6711294,100116,500116,810116,Melissa,Medina,1916-09-21,melissa.m@northeastern.edu,F,Saint Helena,No,4,28,2022-01-27
6013983,100117,500117,810117,Ashley,Stone,1916-10-15,ashley.s@northeastern.edu,M,Burkina Faso,No,4,28,2022-05-30
6663605,100118,500118,810118,Brian,Garza,2002-07-13,brian.g@northeastern.edu,F,Cocos (Keeling) Islands,No,4,28,2022-06-08
3462795,100119,500119,810119,Troy,Garcia,2002-06-23,troy.g@northeastern.edu,M,Moldova,No,4,28,2024-04-01
6222011,100120,500120,810120,Brittany,Mayo,1987-04-24,brittany.m@northeastern.edu,F,Lithuania,No,16,16,2025-05-19
8689280,100121,500121,810121,Kristina,Baker,1999-11-24,kristina.b@northeastern.edu,M,Cuba,No,4,28,2024-05-04
8840505,100122,500122,810122,Jason,Day,1953-03-14,jason.d@northeastern.edu,F,Romania,No,8,24,2022-03-12
1367999,100123,500123,810123,Norma,Clarke,1957-10-03,norma.c@northeastern.edu,M,Bulgaria,No,8,24,2023-10-23
2987219,100124,500124,810124,Jeffrey,Moore,1940-11-25,jeffrey.m@northeastern.edu,F,Costa Rica,No,8,24,2024-10-14
6033620,100125,500125,810125,Kimberly,Hooper,1951-10-25,kimberly.h@northeastern.edu,M,Vietnam,No,4,28,2023-02-22
8173292,100126,500126,810126,Michael,Sparks,1980-03-28,michael.s@northeastern.edu,F,Korea,No,8,24,2023-05-06
4123707,100127,500127,810127,John,Nguyen,1941-10-15,john.n@northeastern.edu,M,India,No,8,24,2023-07-16
3195021,100128,500128,810128,Jennifer,Nunez,1973-03-25,jennifer.n@northeastern.edu,F,Honduras,No,8,24,2025-10-19
1763684,100129,500129,810129,Jonathan,Coleman,1958-02-10,jonathan.c@northeastern.edu,M,Sudan,No,8,24,2022-02-07
4663473,100130,500130,810130,Deanna,Stevens,1989-02-13,deanna.s@northeastern.edu,F,Cyprus,No,16,16,2025-10-29
5161671,100131,500131,810131,Jennifer,Ramirez,1947-04-06,jennifer.r@northeastern.edu,M,Gibraltar,No,4,28,2022-01-10
9029788,100132,500132,810132,Timothy,Young,2016-06-30,timothy.y@northeastern.edu,F,Ethiopia,No,4,28,2024-03-23
7661694,100133,500133,810133,Terri,Hendricks,2013-08-17,terri.h@northeastern.edu,M,Haiti,No,8,24,2024-06-06
3233248,100134,500134,810134,Stephanie,Gray,1953-09-06,stephanie.g@northeastern.edu,F,Sudan,No,8,24,2022-12-04
5890927,100135,500135,810135,Sarah,Buchanan,2021-01-20,sarah.b@northeastern.edu,M,Netherlands,No,12,20,2022-07-12
1605378,100136,500136,810136,Christina,Castillo,1975-02-08,christina.c@northeastern.edu,F,"Lao People's Democratic Republic",No,12,20,2023-08-17
7130892,100137,500137,810137,Kristy,Harris,1999-03-31,kristy.h@northeastern.edu,M,Brunei Darussalam,No,8,24,2023-07-27
1215753,100138,500138,810138,Spencer,Singleton,1910-09-28,spencer.s@northeastern.edu,F,Palau,No,4,28,2023-01-19
5136421,100139,500139,810139,Elizabeth,Griffin,1954-11-12,elizabeth.g@northeastern.edu,M,Lebanon,No,4,28,2024-12-18
6445836,100140,500140,810140,Ray,Carroll,1957-11-21,ray.c@northeastern.edu,F,Togo,No,12,20,2025-08-25
2067515,100141,500141,810141,Shawn,Jones,1973-04-12,shawn.j@northeastern.edu,M,Western Sahara,No,4,28,2023-09-01
6672358,100142,500142,810142,Brooke,Mcgee,1957-12-06,brooke.m@northeastern.edu,F,Niger,No,4,28,2022-03-28
8753824,100143,500143,810143,Andrea,Clark,1968-10-08,andrea.c@northeastern.edu,M,Haiti,No,16,16,2023-06-12
2272070,100144,500144,810144,Evan,Sullivan,1925-04-02,evan.s@northeastern.edu,F,Mexico,No,8,24,2023-11-18
2045793,100145,500145,810145,Christine,Marquez,1918-01-15,christine.m@northeastern.edu,M,Ecuador,No,12,20,2023-03-22
1129364,100146,500146,810146,Paul,Williams,1955-08-23,paul.w@northeastern.edu,F,Cocos (Keeling) Islands,No,12,20,2022-11-19
4479916,100147,500147,810147,Kristen,Ramirez,2004-03-08,kristen.r@northeastern.edu,M,Switzerland,No,16,16,2025-05-14
7921460,100148,500148,810148,Katrina,Cox,1953-11-07,katrina.c@northeastern.edu,F,"Cote d'Ivoire",No,8,24,2023-02-01
4425904,100149,500149,810149,Matthew,Rodriguez,1941-03-06,matthew.r@northeastern.edu,M,Cape Verde,No,12,20,2025-11-06
5963189,100150,500150,810150,Ralph,Allen,1939-05-22,ralph.a@northeastern.edu,F,New Zealand,No,4,28,2024-05-10
1990901,100151,500151,810151,Gregory,Parks,1993-10-15,gregory.p@northeastern.edu,M,Christmas Island,No,8,24,2023-12-20
8835978,100152,500152,810152,Heather,Wright,1919-05-03,heather.w@northeastern.edu,F,Saint Lucia,No,4,28,2022-12-04
2949491,100153,500153,810153,Jonathan,Sanchez,1959-10-11,jonathan.s@northeastern.edu,M,Saint Barthelemy,No,4,28,2025-07-19
2854323,100154,500154,810154,Carla,Lopez,2001-02-15,carla.l@northeastern.edu,F,Armenia,No,16,16,2022-06-04
5227888,100155,500155,810155,Leslie,Smith,2009-09-08,leslie.s@northeastern.edu,M,Macao,No,12,20,2025-05-12
8940838,100156,500156,810156,Jason,Preston,1954-10-13,jason.p@northeastern.edu,F,Lesotho,No,12,20,2023-06-10
4503333,100157,500157,810157,Ashley,Buck,1968-11-01,ashley.b@northeastern.edu,M,Vanuatu,No,8,24,2024-05-29
9474241,100158,500158,810158,Ashley,Burgess,1990-05-02,ashley.b@northeastern.edu,F,Bahamas,No,12,20,2022-02-07
4722672,100159,500159,810159,Kenneth,Costa,1969-02-23,kenneth.c@northeastern.edu,M,Palestinian Territory,No,12,20,2025-05-30
6116997,100160,500160,810160,Joshua,Cardenas,1911-07-07,joshua.c@northeastern.edu,F,Panama,No,8,24,2025-03-05
9438896,100161,500161,810161,Phillip,Rodriguez,1943-02-28,phillip.r@northeastern.edu,M,Mozambique,No,12,20,2025-10-28
1019909,100162,500162,810162,Jason,Crane,1962-03-09,jason.c@northeastern.edu,F,Myanmar,No,4,28,2025-09-23
1732094,100163,500163,810163,Amy,Howard,1974-08-08,amy.h@northeastern.edu,M,New Zealand,No,8,24,2024-07-21
2042005,100164,500164,810164,Robert,Johns,1926-04-23,robert.j@northeastern.edu,F,French Guiana,No,16,16,2025-04-01
1512262,100165,500165,810165,Joy,Conner,1994-06-11,joy.c@northeastern.edu,M,Antarctica (the territory South of 60 deg S),No,4,28,2023-02-09
2662159,100166,500166,810166,Yolanda,Daniels,1922-07-07,yolanda.d@northeastern.edu,F,Anguilla,No,8,24,2022-09-18
5535182,100167,500167,810167,Steven,Nunez,2013-06-09,steven.n@northeastern.edu,M,Slovenia,No,16,16,2022-10-01
5763039,100168,500168,810168,Jimmy,Dennis,1907-12-24,jimmy.d@northeastern.edu,F,Syrian Arab Republic,No,16,16,2023-08-03
4214931,100169,500169,810169,Jeremy,Jones,2002-07-08,jeremy.j@northeastern.edu,M,Timor-Leste,No,12,20,2023-11-17
8398776,100170,500170,810170,Kimberly,Sanchez,1995-10-29,kimberly.s@northeastern.edu,F,United States Minor Outlying Islands,No,4,28,2023-07-13
3598913,100171,500171,810171,Joseph,Smith,1958-05-06,joseph.s@northeastern.edu,M,Northern Mariana Islands,No,4,28,2024-02-20
6925788,100172,500172,810172,James,Garcia,1986-12-19,james.g@northeastern.edu,F,Nigeria,No,12,20,2022-02-19
9633544,100173,500173,810173,Franklin,Gilbert,2009-10-25,franklin.g@northeastern.edu,M,Guyana,No,8,24,2025-10-15
5767182,100174,500174,810174,Eric,Andersen,1919-10-06,eric.a@northeastern.edu,F,French Polynesia,No,8,24,2022-06-23
8424379,100175,500175,810175,Alan,Green,2000-11-15,alan.g@northeastern.edu,M,Burundi,No,16,16,2024-08-29
6251095,100176,500176,810176,Anthony,Davis,2017-03-10,anthony.d@northeastern.edu,F,Norway,No,4,28,2022-11-02
6816080,100177,500177,810177,Catherine,Reese,1918-06-20,catherine.r@northeastern.edu,M,Somalia,No,12,20,2025-01-19
3893966,100178,500178,810178,Jason,Oliver,2009-05-11,jason.o@northeastern.edu,F,Sierra Leone,No,12,20,2024-01-31
5936959,100179,500179,810179,Derrick,Martin,2021-07-30,derrick.m@northeastern.edu,M,Brunei Darussalam,No,12,20,2022-01-19
9019809,100180,500180,810180,Charles,Thompson,1908-07-30,charles.t@northeastern.edu,F,Kuwait,No,4,28,2025-06-01
8713757,100181,500181,810181,Paul,Gilmore,1916-03-25,paul.g@northeastern.edu,M,Marshall Islands,No,16,16,2025-07-18
1393792,100182,500182,810182,Juan,Glass,1925-06-11,juan.g@northeastern.edu,F,Indonesia,No,12,20,2025-08-08
4987219,100183,500183,810183,April,Wilson,1963-10-01,april.w@northeastern.edu,M,Zambia,No,4,28,2025-11-29
8496218,100184,500184,810184,Sarah,Harris,1963-11-29,sarah.h@northeastern.edu,F,Algeria,No,12,20,2024-10-15
2388717,100185,500185,810185,Kristin,Flores,2003-10-23,kristin.f@northeastern.edu,M,Luxembourg,No,4,28,2025-12-17
7610271,100186,500186,810186,Tonya,Oneill,1969-07-06,tonya.o@northeastern.edu,F,Senegal,No,4,28,2024-01-12
4192059,100187,500187,810187,Alyssa,Cook,2009-03-04,alyssa.c@northeastern.edu,M,French Southern Territories,No,12,20,2025-08-05
7402945,100188,500188,810188,Jamie,Savage,1946-07-07,jamie.s@northeastern.edu,F,British Indian Ocean Territory (Chagos Archipelago),No,8,24,2022-06-09
5476427,100189,500189,810189,Victoria,Hale,2000-02-11,victoria.h@northeastern.edu,M,Germany,No,8,24,2022-07-15
9451381,100190,500190,810190,Monica,Jones,1961-10-19,monica.j@northeastern.edu,F,Macao,No,16,16,2025-02-09
8415800,100191,500191,810191,Kelly,Johnson,1919-03-02,kelly.j@northeastern.edu,M,Belgium,No,12,20,2025-03-07
3762348,100192,500192,810192,Ashley,Murphy,1964-12-24,ashley.m@northeastern.edu,F,Monaco,No,8,24,2025-07-03
4464207,100193,500193,810193,Priscilla,Jones,1957-04-11,priscilla.j@northeastern.edu,M,Gabon,No,12,20,2025-03-09
4264872,100194,500194,810194,Jessica,Anderson,1999-07-06,jessica.a@northeastern.edu,F,Slovenia,No,12,20,2023-02-03
6383357,100195,500195,810195,Derek,Hanna,1956-10-29,derek.h@northeastern.edu,M,Bolivia,No,16,16,2025-05-31
2712495,100196,500196,810196,Maurice,Henderson,1932-08-15,maurice.h@northeastern.edu,F,Anguilla,No,8,24,2024-04-20
5875496,100197,500197,810197,Karen,Rasmussen,1943-03-25,karen.r@northeastern.edu,M,Cape Verde,No,8,24,2024-02-10
9435315,100198,500198,810198,Amanda,King,1966-10-30,amanda.k@northeastern.edu,F,Malaysia,No,12,20,2025-01-03
1174044,100199,500199,810199,Melissa,Atkinson,2008-06-20,melissa.a@northeastern.edu,M,Armenia,No,12,20,2022-01-16
7525003,100200,500200,810200,Todd,Duncan,2020-09-16,todd.d@northeastern.edu,F,Tokelau,No,12,20,2024-11-26
7577622,100201,500201,810201,Claudia,Johnson,1922-04-07,claudia.j@northeastern.edu,M,Armenia,No,16,16,2022-10-25
3850689,100202,500202,810202,Lisa,Wood,1988-03-28,lisa.w@northeastern.edu,F,Guam,No,4,28,2023-02-05
3153078,100203,500203,810203,Sue,White,2014-04-18,sue.w@northeastern.edu,M,Kuwait,No,12,20,2024-09-25
1215650,100204,500204,810204,Brandy,Lee,1927-01-11,brandy.l@northeastern.edu,F,Vietnam,No,12,20,2025-08-05
7980237,100205,500205,810205,Brenda,Trujillo,1924-10-10,brenda.t@northeastern.edu,M,Egypt,No,4,28,2025-12-15
6618921,100206,500206,810206,Brenda,Haley,1996-03-09,brenda.h@northeastern.edu,F,Botswana,No,8,24,2023-06-28
8949936,100207,500207,810207,Justin,Johnson,1970-05-17,justin.j@northeastern.edu,M,Palau,No,8,24,2022-05-28
2631648,100208,500208,810208,Julie,Bridges,1970-01-23,julie.b@northeastern.edu,F,Guatemala,No,16,16,2024-10-27
1464127,100209,500209,810209,Anna,Webb,1974-08-05,anna.w@northeastern.edu,M,Martinique,No,8,24,2022-09-24
6709160,100210,500210,810210,Matthew,Stephens,1985-07-26,matthew.s@northeastern.edu,F,American Samoa,No,16,16,2025-08-10
6159306,100211,500211,810211,Amy,Love,1995-06-20,amy.l@northeastern.edu,M,Belarus,No,12,20,2025-04-30
6616560,100212,500212,810212,Isaac,Price,2003-12-21,isaac.p@northeastern.edu,F,Sudan,No,12,20,2022-05-18
3006580,100213,500213,810213,Christopher,Klein,2005-01-06,christopher.k@northeastern.edu,M,Congo,No,16,16,2025-11-04
9210929,100214,500214,810214,Gina,Brown,1963-10-29,gina.b@northeastern.edu,F,Nauru,No,12,20,2024-05-05
